title,first_author,year
"2020: A Summary Of Artefactual Field Experiments On Fieldexperiments.Com: The Who's, What's, Where's, And When's",List John A,2020
"2020: A Summary Of Framed Field Experiments On Fieldexperiments.Com: The Who's, What's Where's, And When's",List John A,2020
2020 Summary Data Of Natural Field Experiments Published On Fieldexperiments.Com,List John A,2020
2021 Summary Data Of Artefactual Field Experiments Published On Fieldexperiments.Com,List John A,2022
2021 Summary Data Of Natural Field Experiments Published On Fieldexperiments.Com,List John A,
Academic Economists Behaving Badly? A Survey On Three Areas Of Unethical Behavior,Bailey Charles ,2001
Achievement Awards For High School Matriculation: Evidence From Randomized Trials,Angrist Joshua D,2003
Actions And Beliefs: Estimating Distribution-Based Preferences Using A Large Scale Experiment With Probability Questions On Expectations,Bellemare Charles ,2005
Active Decisions And Pro-Social Behavior: A Field Experiment On Blood Donation,Goette Lorenz ,2007
A Dollar For Your Thoughts: Feedback-Conditional Rebates On Ebay,Cabral Luis ,2015
